date,time,temperature_c,humidity_percent,water_frequency_hz
2026-08-15,09:40:03,27.0,43.4,1937300
2026-08-15,09:40:08,27.0,43.3,1937350
2026-08-15,09:40:13,27.0,43.2,1937100
2026-08-15,09:40:18,27.0,43.2,1936200
2026-08-15,09:40:23,27.0,43.1,1936300
2026-08-15,09:40:28,27.0,43.1,1936750
2026-08-15,09:40:33,27.0,43.1,1935900
2026-08-15,09:40:38,27.0,43.1,1936900
2026-08-15,09:40:43,27.0,43.2,1937200
2026-08-15,09:40:48,27.0,43.2,1936950
2026-08-15,09:40:53,27.1,43.2,1936600
2026-08-15,09:40:57,27.1,43.2,1935750
2026-08-15,09:41:02,27.1,43.2,1935250
2026-08-15,09:41:07,27.1,43.1,1935700
2026-08-15,09:41:12,27.1,43.1,1935400
2026-08-15,09:41:17,27.1,43.1,1936550
2026-08-15,09:41:22,27.2,43.0,1935300
2026-08-15,09:41:27,27.2,42.9,1936050
2026-08-15,09:41:32,27.2,42.9,1935100
2026-08-15,09:41:37,27.2,42.9,1936250
2026-08-15,09:41:42,27.2,42.8,1936050
2026-08-15,09:41:47,27.3,42.8,1936150
2026-08-15,09:41:52,27.3,42.8,1935800
2026-08-15,09:41:57,27.3,42.8,1934950
2026-08-15,09:42:02,27.4,42.8,1934550
2026-08-15,09:42:07,27.4,42.7,1935250
2026-08-15,09:42:12,27.4,42.6,1933850
2026-08-15,09:42:17,27.4,42.5,1934900
2026-08-15,09:42:22,27.4,42.4,1934972
2026-08-15,09:42:27,27.4,42.4,1935350
2026-08-15,09:42:32,27.5,42.3,1935100
2026-08-15,09:42:37,27.5,42.2,1935150
2026-08-15,09:42:42,27.5,42.2,1935550
2026-08-15,09:42:47,27.5,42.1,1936650
2026-08-15,09:42:52,27.6,42.0,1936000
2026-08-15,09:42:57,27.6,42.0,1935650
2026-08-15,09:43:02,27.6,41.9,1935600
2026-08-15,09:43:07,27.6,41.9,1934350
2026-08-15,09:43:12,27.6,41.8,1934550
2026-08-15,09:43:17,27.7,41.8,1935000
2026-08-15,09:43:22,27.7,41.7,1933950
2026-08-15,09:43:27,27.7,41.7,1933600
